iter	RMSE
0	918.2767536
1	860.0196217
2	806.3921326
3	757.3162141
4	712.4315939
5	671.5174572
6	634.2309724
7	600.1042765
8	569.1819257
9	540.9402552
10	515.6222181
11	492.8564389
12	472.3694008
13	453.8256778
14	437.2646448
15	422.7000323
16	409.1822548
17	397.5148012
18	387.3653982
19	378.271671
20	370.2610241
21	363.3544432
22	357.1603468
23	351.2348195
24	346.3855507
25	341.7658734
26	337.8131576
27	334.2902112
28	331.3902598
29	328.9074382
30	326.4408834
31	324.3167469
32	322.6285844
33	321.4613771
34	320.166491
35	318.7330197
36	317.4761074
37	316.3420809
38	315.2326927
39	314.4847709
40	313.6824096
41	312.8628765
42	312.2765567
43	311.5615306
44	310.8775702
45	310.3592524
46	309.8286352
47	309.3995467
48	308.9487145
49	308.2563485
50	307.7787145
51	307.6364948
52	307.1403183
53	306.768693
54	306.4214839
55	306.0338933
56	305.6553658
57	305.3344817
58	305.0888339
59	304.5922865
60	304.3743515
61	303.9850354
62	303.6648912
63	303.4039265
64	303.1395273
65	302.7105374
66	302.3424733
67	302.0629738
68	301.8107029
69	301.5494852
70	301.3522825
71	301.0632598
72	300.9178586
73	300.753793
74	300.4765814
75	300.2644821
76	300.131308
77	299.9487483
78	299.6515518
79	299.3460353
80	299.2146283
81	298.9866404
82	298.7606468
83	298.5537065
84	298.3193593
85	298.174618
86	297.7967618
87	297.5985842
88	297.3194531
89	297.1800737
90	297.0019888
91	296.7656107
92	296.4893655
93	296.3535475
94	296.1534454
95	295.9181745
96	295.7458745
97	295.4454594
98	295.2278347
99	295.0471384
100	294.8018012
101	294.7112387
102	294.5876963
103	294.4319764
104	294.3118685
105	294.108302
106	293.98217
107	293.659732
108	293.4812373
109	293.3500672
110	293.1566815
111	292.9932564
112	292.7013034
113	292.4137305
114	292.3216911
115	292.1523388
116	292.0335968
117	291.8661268
118	291.6955299
119	291.5483796
120	291.3686874
121	291.3126606
122	291.2122602
123	291.0355511
124	290.8605592
125	290.7879349
126	290.5105306
127	290.3399135
128	290.2398246
129	290.0934784
130	289.8441545
131	289.6877117
132	289.5553374
133	289.3399314
134	289.1755899
135	289.030395
136	288.9229524
137	288.7753332
138	288.6323619
139	288.4960784
140	288.4471721
141	288.2500456
142	288.1081195
143	287.9438808
144	287.7500909
145	287.6110237
146	287.5111762
147	287.3511039
148	287.1322824
149	286.9837521
150	286.8634738
151	286.7641508
152	286.6438522
153	286.5265664
154	286.4426679
155	286.2643646
156	286.195949
157	286.0736839
158	285.9497649
159	285.8227939
160	285.6469224
161	285.5475982
162	285.3837976
163	285.2592936
164	285.1060512
165	284.8656281
166	284.7180945
167	284.6178647
168	284.3833465
169	284.317535
170	284.2520477
171	284.1941978
172	283.9623569
173	283.8505975
174	283.6683903
175	283.5605178
176	283.4795767
177	283.4332086
178	283.326137
179	283.1284485
180	283.0326851
181	282.8830667
182	282.7789064
183	282.6801002
184	282.5531384
185	282.4566897
186	282.360822
187	282.2464892
188	282.1376488
189	282.0367827
190	281.8365522
191	281.7130604
192	281.5615816
193	281.4431673
194	281.3813198
195	281.2113609
196	281.0923667
197	281.0247913
198	280.9051413
199	280.819367
