iter	Passed	Remaining
0	2	2173
1	3	1801
2	5	1702
3	6	1596
4	7	1551
5	9	1561
6	10	1504
7	12	1514
8	14	1561
9	16	1597
10	18	1618
11	19	1594
12	20	1567
13	22	1550
14	23	1534
15	24	1497
16	25	1493
17	27	1490
18	28	1476
19	30	1480
20	31	1481
21	33	1469
22	34	1464
23	36	1464
24	37	1460
25	39	1463
26	40	1465
27	42	1469
28	43	1470
29	45	1474
30	47	1474
31	48	1472
32	50	1472
33	51	1471
34	53	1467
35	54	1468
36	56	1467
37	57	1464
38	59	1465
39	60	1462
40	62	1464
41	64	1463
42	65	1453
43	66	1444
44	67	1438
45	69	1438
46	70	1435
47	72	1434
48	73	1431
49	75	1429
50	76	1428
51	78	1423
52	79	1427
53	81	1426
54	82	1424
55	84	1421
56	86	1430
57	88	1430
58	89	1428
59	91	1430
60	92	1429
61	94	1431
62	96	1430
63	97	1429
64	99	1429
65	100	1427
66	102	1425
67	103	1422
68	105	1422
69	106	1419
70	108	1419
71	110	1421
72	111	1421
73	113	1420
74	115	1418
75	116	1418
76	118	1415
77	119	1414
78	121	1413
79	122	1412
80	124	1413
81	126	1411
82	127	1410
83	129	1410
84	130	1407
85	132	1407
86	134	1410
87	135	1407
88	137	1407
89	139	1405
90	140	1404
91	142	1402
92	143	1403
93	145	1401
94	146	1399
95	148	1398
96	150	1396
97	151	1395
98	153	1395
99	154	1392
100	156	1390
101	157	1389
102	159	1387
103	160	1385
104	162	1384
105	163	1382
106	165	1380
107	166	1378
108	168	1377
109	170	1375
110	171	1373
111	173	1373
112	174	1372
113	176	1372
114	178	1372
115	180	1371
116	181	1369
117	182	1367
118	184	1367
119	186	1365
120	187	1363
121	188	1359
122	190	1357
123	192	1356
124	193	1356
125	195	1354
126	196	1352
127	198	1351
128	199	1348
129	201	1346
130	202	1345
131	204	1344
132	205	1341
133	207	1340
134	208	1338
135	210	1337
136	212	1337
137	213	1335
138	215	1334
139	217	1333
140	218	1330
141	220	1330
142	221	1329
143	223	1327
144	224	1325
145	226	1324
146	227	1322
147	229	1321
148	231	1319
149	232	1317
150	234	1316
151	235	1314
152	237	1313
153	238	1310
154	240	1308
155	241	1306
156	242	1304
157	244	1303
158	246	1302
159	247	1300
160	249	1299
161	250	1297
162	252	1295
163	253	1294
164	255	1293
165	257	1291
166	258	1289
167	260	1288
168	261	1287
169	263	1285
170	264	1283
171	266	1281
172	267	1279
173	269	1278
174	270	1276
175	272	1274
176	273	1273
177	275	1272
178	277	1272
179	278	1270
180	280	1269
181	282	1268
182	283	1266
183	285	1264
184	286	1263
185	288	1261
186	289	1259
187	291	1257
188	292	1256
189	294	1254
190	295	1252
191	297	1252
192	299	1250
193	300	1249
194	302	1247
195	303	1246
196	305	1244
197	306	1242
198	308	1241
199	309	1239
200	311	1238
201	312	1236
202	314	1235
203	316	1233
204	317	1231
205	319	1229
206	320	1228
207	322	1226
208	323	1224
209	325	1222
210	326	1221
211	328	1219
212	329	1217
213	330	1215
214	332	1213
215	333	1211
216	335	1210
217	337	1208
218	338	1206
219	340	1205
220	341	1204
221	343	1205
222	345	1203
223	347	1202
224	348	1201
225	350	1199
226	351	1198
227	353	1196
228	355	1195
229	356	1193
230	358	1192
231	359	1190
232	361	1188
233	362	1187
234	364	1185
235	365	1184
236	367	1182
237	368	1180
238	370	1179
239	371	1177
240	373	1175
241	374	1173
242	376	1173
243	377	1171
244	379	1169
245	380	1167
246	382	1166
247	383	1164
248	385	1162
249	387	1161
250	388	1159
251	390	1158
252	391	1156
253	393	1155
254	395	1154
255	396	1152
256	398	1151
257	399	1150
258	401	1148
259	402	1146
260	404	1144
261	406	1143
262	407	1141
263	409	1140
264	410	1139
265	412	1138
266	414	1136
267	415	1135
268	417	1133
269	418	1132
270	420	1130
271	421	1129
272	423	1127
273	425	1126
274	427	1126
275	428	1124
276	430	1123
277	432	1122
278	433	1120
279	435	1119
280	436	1117
281	438	1115
282	439	1113
283	441	1112
284	442	1111
285	444	1109
286	446	1108
287	447	1107
288	449	1105
289	451	1104
290	452	1102
291	454	1101
292	455	1099
293	457	1097
294	458	1096
295	460	1095
296	462	1093
297	463	1092
298	465	1090
299	466	1089
300	468	1088
301	470	1086
302	471	1084
303	473	1083
304	475	1082
305	476	1081
306	478	1080
307	480	1078
