DATE,BY PRODUCT,PROVINCE,DISTRICT ID,DISTRICT,STATION ID,STATION,MINIMUM,MAXIMUM,Predicted_MINIMUM,Predicted_MAXIMUM
2023-01-02,Wheat,Sindh,45,Khairpur,292,Khairpur,2103,2131,2445.0,2475.0
2023-01-02,Wheat,Sindh,72,Mirpur Khas,410,Mirpur Khas,2103,2131,2425.0,2454.0
2023-01-02,Wheat,Sindh,105,Sukkur,467,Pano Aqil,2103,2131,2409.0,2439.0
2023-01-02,Wheat,Sindh,24,Ghotki,184,Ghotki,2103,2131,2404.0,2434.0
2023-01-02,Wheat,Sindh,4,Badin,26,Badin,2103,2131,2376.0,2400.0
2023-01-02,Wheat,Sindh,72,Mirpur Khas,249,Jhuddo,2103,2131,2437.0,2474.0
2023-01-02,Wheat,Sindh,113,Umarkot,344,Kunir,2103,2131,2418.0,2452.0
2023-01-02,Wheat,Sindh,72,Mirpur Khas,535,Samaro,2103,2131,2424.0,2450.0
2023-01-02,Wheat,Sindh,4,Badin,607,Tando Bagho,2103,2131,2471.0,2503.0
2023-01-02,Wheat,Sindh,72,Mirpur Khas,136,Digri,2103,2131,2526.0,2559.0
2023-01-02,Wheat,Sindh,113,Umarkot,639,Umarkot,2103,2131,2443.0,2476.0
2023-01-02,Wheat,Sindh,80,Nawabshah,124,Daur,2103,2131,2449.0,2482.0
2023-01-02,Wheat,Sindh,96,Sanghar,561,Shahdadpur,2103,2131,2455.0,2488.0
2023-01-02,Wheat,Sindh,96,Sanghar,605,Tando Adam,2103,2131,2402.0,2435.0
2023-01-02,Wheat,Sindh,80,Nawabshah,440,Nawabshah,2103,2131,2457.0,2487.0
2023-01-02,Wheat,Sindh,79,Naushro Feroze,439,Naushahro Feroze,2103,2131,2519.0,2551.0
2023-01-02,Wheat,Punjab,92,Rahim Yar Khan,526,Sadiqabad,2103,2131,2511.0,2543.0
2023-01-02,Wheat,Sindh,105,Sukkur,418,Moro,2103,2131,2496.0,2530.0
2023-01-02,Wheat,Punjab,5,Bahawalnagar,157,Faqirwali,2103,2131,2564.0,2588.0
2023-01-02,Wheat,Punjab,5,Bahawalnagar,150,Dunga Bunga,2103,2131,2595.0,2631.0
2023-01-02,Wheat,Sindh,32,Hyderabad,217,Hyderabad,2103,2131,2511.0,2546.0
2023-01-02,Wheat,Punjab,92,Rahim Yar Khan,299,Khanpur,2103,2131,2309.0,2337.0
2023-01-02,Wheat,Punjab,112,Toba Tek Singh,630,Toba Tek Singh,2103,2131,2433.0,2474.0
2023-01-02,Wheat,Punjab,5,Bahawalnagar,205,Haroonabad,2103,2131,2502.0,2530.0
2023-01-02,Wheat,Punjab,6,Bahawalpur,207,Hasilpur,2103,2131,2414.0,2448.0
2023-01-02,Wheat,Punjab,5,Bahawalnagar,93,Chishtian,2103,2131,2493.0,2525.0
2023-01-03,Wheat,Sindh,105,Sukkur,467,Pano Aqil,2103,2131,2344.0,2375.0
2023-01-03,Wheat,Punjab,5,Bahawalnagar,157,Faqirwali,2103,2131,2550.0,2573.0
2023-01-03,Wheat,Punjab,5,Bahawalnagar,150,Dunga Bunga,2103,2131,2582.0,2617.0
2023-01-03,Wheat,Punjab,92,Rahim Yar Khan,526,Sadiqabad,2103,2131,2491.0,2524.0
2023-01-03,Wheat,Punjab,92,Rahim Yar Khan,508,Rahim Yar Khan,2103,2131,2540.0,2574.0
2023-01-03,Wheat,Sindh,24,Ghotki,108,Daharki,2103,2131,2487.0,2515.0
2023-01-03,Wheat,Punjab,5,Bahawalnagar,30,Bahawalnagar,2103,2131,2375.0,2405.0
2023-01-03,Wheat,Punjab,112,Toba Tek Singh,630,Toba Tek Singh,2103,2131,2414.0,2455.0
2023-01-03,Wheat,Sindh,79,Naushro Feroze,439,Naushahro Feroze,2103,2131,2500.0,2532.0
2023-01-03,Wheat,Sindh,80,Nawabshah,39,Bandhi,2103,2131,2461.0,2492.0
2023-01-03,Wheat,Sindh,80,Nawabshah,440,Nawabshah,2103,2131,2418.0,2447.0
2023-01-03,Wheat,Punjab,92,Rahim Yar Khan,299,Khanpur,2103,2131,2269.0,2297.0
2023-01-03,Wheat,Sindh,4,Badin,607,Tando Bagho,2103,2131,2401.0,2434.0
2023-01-03,Wheat,Sindh,72,Mirpur Khas,249,Jhuddo,2103,2131,2371.0,2406.0
2023-01-03,Wheat,Sindh,113,Umarkot,639,Umarkot,2103,2131,2375.0,2407.0
2023-01-03,Wheat,Sindh,113,Umarkot,344,Kunir,2103,2131,2354.0,2388.0
2023-01-03,Wheat,Sindh,96,Sanghar,605,Tando Adam,2103,2131,2300.0,2333.0
2023-01-03,Wheat,Sindh,4,Badin,26,Badin,2103,2131,2311.0,2335.0
2023-01-03,Wheat,Sindh,45,Khairpur,292,Khairpur,2103,2131,2382.0,2411.0
2023-01-03,Wheat,Sindh,24,Ghotki,184,Ghotki,2103,2131,2367.0,2397.0
2023-01-03,Wheat,Punjab,115,Vehari,74,Burewala,2103,2131,2333.0,2366.0
2023-01-03,Wheat,Punjab,6,Bahawalpur,207,Hasilpur,2103,2131,2384.0,2417.0
2023-01-03,Wheat,Punjab,95,Sahiwal,91,Chichawatni,2103,2131,2454.0,2481.0
2023-01-03,Wheat,Sindh,41,Karachi,277,Karachi,2103,2131,2495.0,2525.0
2023-01-03,Wheat,Sindh,72,Mirpur Khas,410,Mirpur Khas,2103,2131,2363.0,2393.0
2023-01-03,Wheat,Sindh,72,Mirpur Khas,535,Samaro,2103,2131,2350.0,2377.0
2023-01-04,Wheat,Punjab,92,Rahim Yar Khan,526,Sadiqabad,2103,2131,2472.0,2505.0
2023-01-04,Wheat,Sindh,105,Sukkur,591,Sukkur,2103,2131,2530.0,2562.0
2023-01-04,Wheat,Sindh,24,Ghotki,108,Daharki,2103,2131,2418.0,2446.0
2023-01-04,Wheat,Sindh,45,Khairpur,513,Ranipur,2103,2131,2413.0,2442.0
2023-01-04,Wheat,Sindh,4,Badin,607,Tando Bagho,2103,2131,2331.0,2363.0
2023-01-04,Wheat,Sindh,72,Mirpur Khas,535,Samaro,2103,2131,2276.0,2304.0
2023-01-04,Wheat,Sindh,96,Sanghar,540,Sanghar,2103,2131,2437.0,2470.0
2023-01-04,Wheat,Sindh,96,Sanghar,564,Shahpur Chakar,2103,2131,2406.0,2435.0
2023-01-04,Wheat,Sindh,80,Nawabshah,124,Daur,2103,2131,2314.0,2345.0
2023-01-04,Wheat,Sindh,105,Sukkur,418,Moro,2103,2131,2335.0,2365.0
2023-01-04,Wheat,Punjab,95,Sahiwal,91,Chichawatni,2103,2131,2442.0,2469.0
2023-01-04,Wheat,Punjab,5,Bahawalnagar,30,Bahawalnagar,2103,2131,2350.0,2380.0
2023-01-04,Wheat,Punjab,5,Bahawalnagar,205,Haroonabad,2103,2131,2458.0,2487.0
2023-01-04,Wheat,Sindh,24,Ghotki,184,Ghotki,2103,2131,2332.0,2361.0
2023-01-04,Wheat,Punjab,92,Rahim Yar Khan,299,Khanpur,2103,2131,2231.0,2259.0
2023-01-04,Wheat,Punjab,5,Bahawalnagar,93,Chishtian,2103,2131,2453.0,2485.0
2023-01-04,Wheat,Sindh,72,Mirpur Khas,136,Digri,2103,2131,2394.0,2425.0
2023-01-04,Wheat,Sindh,113,Umarkot,639,Umarkot,2103,2131,2306.0,2338.0
2023-01-04,Wheat,Sindh,96,Sanghar,561,Shahdadpur,2103,2131,2310.0,2341.0
2023-01-04,Wheat,Sindh,96,Sanghar,605,Tando Adam,2103,2131,2191.0,2226.0
2023-01-04,Wheat,Sindh,72,Mirpur Khas,249,Jhuddo,2103,2131,2304.0,2338.0
2023-01-04,Wheat,Sindh,4,Badin,26,Badin,2103,2131,2247.0,2270.0
2023-01-04,Wheat,Sindh,72,Mirpur Khas,410,Mirpur Khas,2103,2131,2300.0,2330.0
2023-01-04,Wheat,Sindh,45,Khairpur,292,Khairpur,2103,2131,2317.0,2346.0
2023-01-04,Wheat,Sindh,105,Sukkur,467,Pano Aqil,2103,2131,2280.0,2311.0
2023-01-05,Wheat,Sindh,96,Sanghar,564,Shahpur Chakar,2103,2131,2330.0,2360.0
2023-01-05,Wheat,Sindh,4,Badin,26,Badin,2103,2131,2185.0,2208.0
2023-01-05,Wheat,Sindh,105,Sukkur,467,Pano Aqil,2103,2131,2217.0,2248.0
2023-01-05,Wheat,Sindh,72,Mirpur Khas,535,Samaro,2103,2131,2201.0,2230.0
2023-01-05,Wheat,Sindh,105,Sukkur,591,Sukkur,2103,2131,2510.0,2541.0
