DATE,BY PRODUCT,PROVINCE,DISTRICT ID,DISTRICT,STATION ID,STATION,MINIMUM,MAXIMUM
01/01/2019,Wheat,Punjab,,,,Alipur,,1305
01/01/2019,Wheat,Punjab,,,,Chichawatni,1290,1305
01/01/2019,Wheat,Punjab,,,,Pakpattan,1290,1305
01/01/2019,Wheat,Punjab,,,,Arifwala,1300,
01/01/2019,Wheat,Punjab,,,,Bahawalnagar,1300,1315
01/01/2019,Wheat,Punjab,,,,Chishtian,1300,1315
01/01/2019,Wheat,Punjab,,,,,1310,
01/01/2019,,Punjab,,,,Khanpur,1310,1325
01/01/2019,Wheat,Punjab,,,,,1310,
01/01/2019,Wheat,Punjab,,,,Multan,1310,1325
01/01/2019,Wheat,Punjab,,,,Rahimyar khan,1310,1325
01/01/2019,Wheat,Punjab,,,,Sadiqabad,1310,1325
01/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1315,1330
01/01/2019,Wheat,Sindh,,,,Umarkot,1315,1335
01/01/2019,Wheat,Sindh,,,,Kunri,1320,
01/01/2019,,Sindh,,,,Sukkur,1320,1330
01/01/2019,Wheat,Sindh,,,,Nawabshah,1325,1335
01/01/2019,Wheat,,,,,Digri,,1340
01/01/2019,Wheat,Sindh,,,,Ghotki,1330,1315
01/01/2019,,Sindh,,,,Hyderabad,1330,1360
01/01/2019,,Sindh,,,,Khairpur,1330,1350
01/01/2019,Wheat,Sindh,,,,Mirpur khas,,1345
01/01/2019,Wheat,Punjab,,,,Lahore,1340,1355
01/01/2019,Wheat,Sindh,,,,Naushahro Feroze,1345,1350
01/01/2019,Wheat,Punjab,,,,Haripur,1350,1365
01/01/2019,Wheat,Punjab,,,,Islamabad,1350,1365
01/01/2019,Wheat,Sindh,,,,Karachi,1360,1375
01/01/2019,Wheat,Sindh,,,,Ghotki,1330,1315
02/01/2019,Wheat,,,,,Alipur,1295,1305
02/01/2019,Wheat,Punjab,,,,Chichawatni,1295,1305
02/01/2019,Wheat,Punjab,,,,Pakpattan,1295,1310
02/01/2019,Wheat,Punjab,,,,,1300,1315
02/01/2019,Wheat,Punjab,,,,Chishtian,,1315
02/01/2019,Wheat,Punjab,,,,Hasilpur,1300,1315
02/01/2019,Wheat,Punjab,,,,Arifwala,1305,
02/01/2019,Wheat,Punjab,,,,,1310,
02/01/2019,Wheat,Punjab,,,,Liaqauatpur,1310,1325
02/01/2019,,Punjab,,,,Rahimyar khan,1310,1325
02/01/2019,Wheat,Punjab,,,,Sadiqabad,1310,1325
02/01/2019,Wheat,Sindh,,,,Ghotki,1310,1320
02/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1315,1330
02/01/2019,Wheat,Sindh,,,,Kunri,1320,
02/01/2019,Wheat,Sindh,,,,Sukkur,1320,1330
02/01/2019,Wheat,,,,,Nawabshah,1325,1335
02/01/2019,Wheat,Sindh,,,,Digri,1330,1340
02/01/2019,Wheat,Sindh,,,,Hyderabad,1330,1345
02/01/2019,Wheat,Sindh,,,,,1330,1350
02/01/2019,Wheat,Sindh,,,,,1335,1340
02/01/2019,Wheat,Sindh,,,,Mirpur khas,1335,1345
02/01/2019,,Punjab,,,,Haripur,1340,1355
02/01/2019,Wheat,Punjab,,,,Lahore,1340,1350
02/01/2019,Wheat,Punjab,,,,Islamabad,1345,1355
02/01/2019,Wheat,Sindh,,,,Naushahro Feroze,1345,1350
02/01/2019,Wheat,Sindh,,,,Karachi,1365,1370
02/01/2019,Wheat,Sindh,,,,Karachi,1365,1370
02/01/2019,Wheat,Sindh,,,,,1335,1340
02/01/2019,Wheat,Punjab,,,,Lahore,1340,1350
02/01/2019,Wheat,Punjab,,,,Sadiqabad,1310,1325
03/01/2019,Wheat,Sindh,,,,Badin,,1300
03/01/2019,Wheat,,,,,Digri,1250,1300
03/01/2019,Wheat,Sindh,,,,Jhuddo,1250,1300
03/01/2019,Wheat,Sindh,,,,Kunri,1250,1300
03/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1250,
03/01/2019,Wheat,Sindh,,,,Tando Bhago,1250,1275
03/01/2019,Wheat,,,,,Tando Jan Mohammad,1250,1300
03/01/2019,Wheat,Sindh,,,,Umarkot,1250,1300
03/01/2019,Wheat,Punjab,,,,Pakpattan,1295,1310
03/01/2019,Wheat,Punjab,,,,Rahimyar khan,1295,1320
03/01/2019,Wheat,Punjab,,,,Liaqauatpur,1300,1315
03/01/2019,Wheat,Punjab,,,,Lahore,1305,1320
03/01/2019,Wheat,Punjab,,,,Multan,1310,1315
03/01/2019,Wheat,Punjab,,,,Liaqauatpur,1300,1315
04/01/2019,Wheat,Punjab,,,,Sadiqabad,1135,1220
04/01/2019,Wheat,Punjab,,,,Faqirwali,1150,
04/01/2019,Wheat,Punjab,,,,Haroonabad,1150,1233
04/01/2019,Wheat,Sindh,,,,Mehrab Pur,1160,1170
04/01/2019,Wheat,Sindh,,,,Naushahro Feroze,1160,1175
04/01/2019,Wheat,Sindh,,,,Sukkur,1160,1170
04/01/2019,Wheat,Sindh,,,,Dadu,1170,
04/01/2019,Wheat,Sindh,,,,Digri,1170,
04/01/2019,Wheat,Sindh,,,,,1170,1180
04/01/2019,Wheat,Sindh,,,,Nawabshah,1170,1180
04/01/2019,Wheat,Sindh,,,,Qazi Ahmad,1170,1180
04/01/2019,Wheat,Sindh,,,,Samaro,1170,1175
04/01/2019,Wheat,,,,,Sanghar,1170,1175
04/01/2019,Wheat,Sindh,,,,Shahdadpur,1170,1180
04/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1170,1180
04/01/2019,Wheat,Sindh,,,,Tando Bhago,1170,1175
04/01/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1170,1175
04/01/2019,Wheat,Sindh,,,,Umarkot,1170,1175
04/01/2019,,Sindh,,,,Badin,1175,1180
04/01/2019,Wheat,Sindh,,,,Kandhkot,1175,1200
04/01/2019,Wheat,Sindh,,,,,1200,1208
04/01/2019,Wheat,Sindh,,,,Karachi,1232,1240
04/01/2019,Wheat,Punjab,,,,Ahmadpur East,1250,1250
04/01/2019,Wheat,Punjab,,,,Hasilpur,1301,1301
04/01/2019,Wheat,Punjab,,,,Hasilpur,1301,1301
06/01/2019,Wheat,Punjab,,,,Ahmadpur East,1250,1285
06/01/2019,Wheat,Sindh,,,,Dadu,1290,1305
06/01/2019,Wheat,Sindh,,,,,1290,1300
06/01/2019,Wheat,Sindh,,,,Shahdadpur,1290,1305
06/01/2019,Wheat,Sindh,,,,Daharki,1295,1305
06/01/2019,Wheat,Sindh,,,,Ghotki,1295,1305
06/01/2019,Wheat,,,,,Mehrab Pur,1295,1300
06/01/2019,Wheat,Sindh,,,,Sukkur,,1300
06/01/2019,Wheat,Sindh,,,,Hala,1300,1310
06/01/2019,Wheat,Sindh,,,,Kunri,,1310
06/01/2019,Wheat,Sindh,,,,Naushahro Feroze,1300,1310
06/01/2019,Wheat,Sindh,,,,Nawabshah,1300,1310
06/01/2019,Wheat,,,,,Qazi Ahmad,1300,
06/01/2019,Wheat,Sindh,,,,,1300,1310
06/01/2019,Wheat,Sindh,,,,Tando Bhago,1300,1310
06/01/2019,Wheat,Punjab,,,,Chishtian,1315,1320
